2025-05-19 14:27:07,388 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240817.nc | Header Content-Type: text/html
2025-05-19 14:27:07,649 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240818.nc | Header Content-Type: text/html
2025-05-19 14:27:07,914 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240819.nc | Header Content-Type: text/html
2025-05-19 14:27:08,177 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240820.nc | Header Content-Type: text/html
2025-05-19 14:27:08,442 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240821.nc | Header Content-Type: text/html
2025-05-19 14:27:08,708 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240822.nc | Header Content-Type: text/html
2025-05-19 14:27:08,970 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240823.nc | Header Content-Type: text/html
2025-05-19 14:27:09,233 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240824.nc | Header Content-Type: text/html
2025-05-19 14:27:09,496 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240825.nc | Header Content-Type: text/html
2025-05-19 14:27:09,760 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240826.nc | Header Content-Type: text/html
2025-05-19 14:27:10,024 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240827.nc | Header Content-Type: text/html
2025-05-19 14:27:10,288 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240828.nc | Header Content-Type: text/html
2025-05-19 14:27:10,552 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024082902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240829.nc | Header Content-Type: text/html
2025-05-19 14:27:10,815 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024083002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240830.nc | Header Content-Type: text/html
2025-05-19 14:27:11,077 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024083102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240831.nc | Header Content-Type: text/html
2025-05-19 14:27:11,340 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240901.nc | Header Content-Type: text/html
2025-05-19 14:27:11,604 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240902.nc | Header Content-Type: text/html
2025-05-19 14:27:11,867 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240903.nc | Header Content-Type: text/html
2025-05-19 14:27:12,128 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240904.nc | Header Content-Type: text/html
2025-05-19 14:27:12,405 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240905.nc | Header Content-Type: text/html
2025-05-19 14:27:12,671 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240906.nc | Header Content-Type: text/html
2025-05-19 14:27:12,936 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240907.nc | Header Content-Type: text/html
2025-05-19 14:27:13,211 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240908.nc | Header Content-Type: text/html
2025-05-19 14:27:13,476 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024090902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240909.nc | Header Content-Type: text/html
2025-05-19 14:27:13,737 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024091002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240910.nc | Header Content-Type: text/html
