2025-05-19 13:44:25,118 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025041508/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250415.nc | Header Content-Type: text/html
2025-05-19 13:44:25,382 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025041608/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250416.nc | Header Content-Type: text/html
2025-05-19 13:44:25,646 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025041708/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250417.nc | Header Content-Type: text/html
2025-05-19 13:44:25,911 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025041808/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250418.nc | Header Content-Type: text/html
2025-05-19 13:44:26,168 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025041908/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250419.nc | Header Content-Type: text/html
2025-05-19 13:44:26,430 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042008/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250420.nc | Header Content-Type: text/html
2025-05-19 13:44:26,693 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042108/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250421.nc | Header Content-Type: text/html
2025-05-19 13:44:26,959 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042208/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250422.nc | Header Content-Type: text/html
2025-05-19 13:44:27,224 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042308/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250423.nc | Header Content-Type: text/html
2025-05-19 13:44:27,493 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042408/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250424.nc | Header Content-Type: text/html
2025-05-19 13:44:27,764 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042508/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250425.nc | Header Content-Type: text/html
2025-05-19 13:44:28,022 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042608/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250426.nc | Header Content-Type: text/html
2025-05-19 13:44:28,286 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042708/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250427.nc | Header Content-Type: text/html
2025-05-19 13:44:28,586 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042808/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250428.nc | Header Content-Type: text/html
2025-05-19 13:44:28,852 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025042908/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250429.nc | Header Content-Type: text/html
2025-05-19 13:44:29,113 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025043008/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250430.nc | Header Content-Type: text/html
2025-05-19 13:44:29,373 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025050108/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250501.nc | Header Content-Type: text/html
